Frequency Output,Frequency Input,FCC Callsign,County,State,Agency/Category,Description,Alpha Tag,PL Tone,Mode,Class Station Code,Tag
53.590000,52.59000,VE3BUO,Halton,ON,6 M Band,VE3BUO  Burlington ,VE3BUO,,FM,RM,Ham
90.700000,0.00000,,Durham,ON,Attractions Canadian Tire Motorsport Park,CTMP FM Broadcast,CTMP FM,,FM,F,Business
110.150000,0.00000,Multiple,Toronto,ON,Billy Bishop Toronto City Airport YTZ Air Traffic Control,Toronto Island Localizer Runways 08  26,LOC 08 & 26,,AM,F,Aircraft
111.100000,0.00000,VXB39,York,ON,Buttonville Airport YKZ Air Traffic Control,ILS  Distance MeasuringLocalizer,ILS DME/LOC,,FM,F,Aircraft
111.350000,0.00000,IOO,Durham,ON,Oshawa Airport YOO CYOO Oshawa Airport,Oshawa DMELOC Decommissioned June 2015,Localizer,,AM,F,Deprecated
116.000000,0.00000,,Toronto,ON,Canadian International Air Show CNE Waterfront,Snowbirds,Snowbirds,,AM,BM,Aircraft
118.000000,0.00000,,Toronto,ON,Canadian International Air Show CNE Waterfront,Show Radar,Show Radar,,AM,BM,Aircraft
118.000000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Tower Backup,Tower B/U,,AM,BM,Aircraft
118.200000,0.00000,XJL735,Toronto,ON,Billy Bishop Toronto City Airport YTZ Air Traffic Control,Tower,Tower,,AM,BM,Aircraft
118.350000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Tower South,Tower S,,AM,BM,Aircraft
118.400000,0.00000,XMJ818,Durham,ON,Oshawa Airport YOO CYOO Oshawa Airport,Oshawa Ground,Ground,,AM,BM,Aircraft
118.700000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Tower North,Tower N,,AM,BM,Aircraft
119.100000,0.00000,CKC447,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Ground Center,Ground Ctr,,AM,BM,Aircraft
119.200000,0.00000,,Toronto,ON,Canadian International Air Show CNE Waterfront,Boss Control,Boss Control,,AM,BM,Aircraft
119.200000,0.00000,XJL735,Toronto,ON,Billy Bishop Toronto City Airport YTZ Air Traffic Control,Tower alternate,Tower Alt,,AM,BM,Aircraft
119.900000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Tower alternate,Tower Alt,,AM,BM,Aircraft
120.100000,0.00000,XMJ818,Durham,ON,Oshawa Airport YOO CYOO Oshawa Airport,Oshawa Tower,Tower,,AM,BM,Aircraft
120.825000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,ATIS Primary,ATIS Primary,,AM,F,Aircraft
121.300000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Clearance Delivery,Clearance,,AM,BM,Aircraft
121.600000,0.00000,VXB42,Hamilton,ON,John C Munro International Airport YHM Air Traffic Control,Ground,Ground,,AM,BM,Aircraft
121.650000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Ground North,Ground N,,AM,BM,Aircraft
121.700000,0.00000,XJL735,Toronto,ON,Billy Bishop Toronto City Airport YTZ Air Traffic Control,Ground,Ground,,AM,BM,Aircraft
121.800000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Ground,Ground,,AM,BM,Aircraft
121.900000,0.00000,CKC447,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,Ground South,Ground S,,AM,BM,Aircraft
122.075000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Apron Control,South Apron  Terminal 1  East Satellite Ramp  GTAA Hangar  Avitat Ramps,S Apron,,AM,BM,Aircraft
122.225000,0.00000,VYQ42,York,ON,Buttonville Airport YKZ Aviation Business Frequencies,Seneca College Flight School Hangars 678,SenColFltSch,,AM,M,Aircraft
122.275000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Apron Control,North Apron  Terminal 3  T3 Satellite   Cargo West  Fedex,N Apron,,AM,BM,Aircraft
122.350000,0.00000,CFU300,Hamilton,ON,John C Munro International Airport YHM Airport Services,Hamilton Jetport Ltd,Jetport Ltd,,AM,BM,Aircraft
122.725000,0.00000,,Durham,ON,Greenbank Airfield CNP8  Air Traffic Control ,ATFUNICOM 5NM4000ASL,UNICOM,,AM,BM,Aircraft
122.800000,0.00000,,York,ON,Baldwin Airport CBP9 Air Traffic Control,Unicom,CB9 Unicom,,AM,BM,Aircraft
122.825000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Apron Control,Backup,B/U Apron,,AM,BM,Aircraft
122.875000,0.00000,VAJ401,Peel,ON,Toronto Pearson International Airport YYZ Apron Control,Apron CoOrdinator,Apron Co-ord,,AM,BM,Aircraft
122.950000,0.00000,CHP254,Peel,ON,Toronto Pearson International Airport YYZ Private Aviation  Business,Landmark Aviation,Landmark,,AM,BM,Aircraft
122.950000,0.00000,,Hamilton,ON,John C Munro International Airport YHM General Aviation,Peninsulair Flight School,Peninsulair,,AM,BM,Aircraft
122.975000,0.00000,VFO252,Toronto,ON,Downsview Airport YZD Air Traffic Control ,Automated Weather,CYZD AutoWX,,AM,F,Aircraft
123.000000,0.00000,,Hamilton,ON,John C Munro International Airport YHM General Aviation,Hamilton Flying Club,Hamilton F C,,AM,BM,Aircraft
123.150000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Toronto Radio,TO Radio,,AM,BM,Aircraft
123.200000,0.00000,CFF629,York,ON,Buttonville Airport YKZ Aviation Business Frequencies,National Helicopters   Hangar 11A,NationalHeli,,AM,BM,Aircraft
123.200000,0.00000,,Toronto,ON,Billy Bishop Toronto City Airport YTZ Operations,ESSO Aviation,ESSO AV,,AM,BM,Aircraft
123.275000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,FSS  London Flight Information Centre RCO,London RCO,,AM,BM,Aircraft
123.300000,0.00000,VXY45,Peel,ON,BramptonCaledon Airport CNC3 Caledon,Brampton Flying Club,Brampton F C,,AM,BM,Aircraft
123.350000,0.00000,CHT932,Toronto,ON,Billy Bishop Toronto City Airport YTZ Operations,Porter  Fixed Base Operations ,Porter FBO,,AM,BM,Aircraft
123.500000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,Field Aviation East,Field Aviat,,AM,BM,Business
123.500000,0.00000,VXW47,York,ON,Buttonville Airport YKZ Support Services,Toronto Airways,TO Airways,,AM,BM,Aircraft
123.500000,0.00000,VXB41,Halton,ON,Burlington Airpark  ZBA Air Traffic Control,Spectrum Airways,CZBA Unicom,,AM,BM,Aircraft
123.575000,0.00000,CKC429,Peel,ON,Toronto Pearson International Airport YYZ Airlines,WestJet,WestJet,CSQ,AM,BM,Business
124.475000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,Arrivals 2,TCU Arr 2,,AM,BM,Aircraft
124.800000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Tower,Tower,,AM,BM,Aircraft
125.000000,0.00000,VXB42,Hamilton,ON,John C Munro International Airport YHM Air Traffic Control,Tower  Primary,Tower Main,,AM,BM,Aircraft
125.400000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,Arrivals 3,TCU Arr 3,,AM,BM,Aircraft
125.675000,0.00000,XMJ818,Durham,ON,Oshawa Airport YOO CYOO Oshawa Airport,Oshawa ATIS,ATIS,,AM,F,Aircraft
126.200000,0.00000,,Toronto,ON,Downsview Airport YZD Air Traffic Control ,Unicom  Tower,Unicom/Tower,,AM,BM,Aircraft
126.700000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Toronto Radio Enroute,TO Enroute,,AM,BM,Aircraft
127.100000,0.00000,VBV564,York,ON,Buttonville Airport YKZ Air Traffic Control,Buttonville ATIS,ATIS,,AM,F,Aircraft
127.575000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,North Departure,TCU N Dep,,AM,BM,Aircraft
128.100000,0.00000,VXB42,Hamilton,ON,John C Munro International Airport YHM Air Traffic Control,ATIS,ATIS,,AM,F,Aircraft
128.800000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,South Departure,TCU S Dep,,AM,BM,Aircraft
128.875000,0.00000,VOB72,Toronto,ON,Billy Bishop Toronto City Airport YTZ CYTZ,Air Canada Rapidair,AC Rapidair,,AM,BM,Aircraft
128.950000,0.00000,VAX626,Hamilton,ON,John C Munro International Airport YHM Cargo Carriers,Purolator Courier Ltd,Purolator,,AM,BM,Aircraft
128.950000,0.00000,VOC32,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,SkyserviceEsso Avitat,Skyservice,,AM,BM,Business
128.975000,0.00000,CHR346,Toronto,ON,Billy Bishop Toronto City Airport YTZ CYTZ,Porter Airlines,Porter,,AM,BM,Aircraft
129.050000,0.00000,XJV932,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Jazz,AC Jazz,CSQ,AM,BM,Business
129.100000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airlines,American Airlines,AAL Ops,CSQ,AM,BM,Business
129.100000,0.00000,CFF661,Durham,ON,Oshawa Airport YOO Flight School,Canadian Flight Academy,CdnFlightAcd,,AM,BM,Aircraft
129.125000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ ACARS,ARINC Toronto,ARINC TO,,AM,F,Data
129.150000,0.00000,CFF550,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Georgian,Air Georgian,CSQ,AM,BM,Business
129.400000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airlines,ARINC,ARINC,CSQ,AM,BM,Business
129.425000,0.00000,VXB49,Hamilton,ON,John C Munro International Airport YHM Cargo Carriers,United Parcel Service Canada,UPS,,AM,BM,Business
129.550000,0.00000,VYQ45,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Jazz Maintenance,AC Jazz Mtc,CSQ,AM,BM,Business
129.625000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,Central DeIcing Facility  Pads 4 5 6,DeIce 4,5,6 ,,AM,BM,Aircraft
129.750000,0.00000,VXV68,Peel,ON,Toronto Pearson International Airport YYZ Private Aviation  Business,Private Jet Charter Service,Skycharter,,AM,BM,Aircraft
129.875000,0.00000,VFK943,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Flight Dispatch,AC Flt Disp,CSQ,AM,BM,Business
130.025000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ ACARS,ARINC Toronto,ARINC TO,,AM,F,Data
130.075000,0.00000,VFN262,Toronto,ON,Downsview Airport YZD Bombardier Aerospace,Tower,Bombdr Twr,,AM,BM,Aircraft
130.150000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada International Flights,AC Interntl,CSQ,AM,BM,Business
130.275000,0.00000,VYQ45,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Jazz Maintenance,AC Jazz Mtc,CSQ,AM,BM,Business
130.375000,0.00000,VFK943,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Domestic Flights,AC Domestic,CSQ,AM,BM,Business
130.475000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Delta Airlines,DELTA Ops,CSQ,AM,BM,Business
130.500000,0.00000,VBX47,Hamilton,ON,John C Munro International Airport YHM Airport Services,Shell  Glanford Aviation Services,Glanford,,AM,BM,Aircraft
130.650000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Swissport,SWISSPORT,CSQ,AM,BM,Business
130.675000,0.00000,CZU911,Hamilton,ON,John C Munro International Airport YHM Cargo Carriers,Cargo Jet Canada Ltd,Cargo Jet,,AM,BM,Aircraft
130.875000,0.00000,CYA38,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Canada Station Operations Centre,AC STOC,CSQ,AM,BM,Business
131.050000,0.00000,,Durham,ON,Oshawa Airport YOO Fuel Operations,Enterprise Air,Enterprise,,AM,BM,Aircraft
131.050000,0.00000,CHR346,Toronto,ON,Billy Bishop Toronto City Airport YTZ CYTZ,Porter Airlines,Porter,,AM,BM,Aircraft
131.075000,0.00000,CIG550,Hamilton,ON,John C Munro International Airport YHM Airlines,CanJet,CanJet,,AM,BM,Aircraft
131.175000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,Central DeIcing Facility,De-Icing,,AM,BM,Aircraft
131.375000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,Central DeIcing Facility  Pads 1 2 3,DeIce 1,2,3 ,,AM,BM,Aircraft
131.475000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ ACARS,ARINC Toronto,ARINC TO,,AM,F,Data
131.550000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ ACARS,ARINC Toronto,ARINC TO,,AM,F,Data
131.575000,0.00000,VAX309,Hamilton,ON,John C Munro International Airport YHM Airport Services,Esso  Hanger 3,Esso,,AM,BM,Aircraft
131.650000,0.00000,VDS839,Peel,ON,Toronto Pearson International Airport YYZ Airlines,US Airways,US Airways,CSQ,AM,BM,Business
131.675000,0.00000,VEA364,Hamilton,ON,John C Munro International Airport YHM Airlines,WestJet,WestJet,,AM,BM,Aircraft
131.725000,0.00000,Multiple,Peel,ON,Toronto Pearson International Airport YYZ ACARS,SITACOM Canada,SITA,,AM,F,Data
131.875000,0.00000,VOC25,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Air Transat,Air Transat,CSQ,AM,BM,Business
131.925000,0.00000,CKC430,Peel,ON,Toronto Pearson International Airport YYZ Cargo Carriers,Federal Express,Fedex,,AM,BM,Aircraft
131.925000,0.00000,Multiple,Hamilton,ON,John C Munro International Airport YHM Cargo Carriers,Federal Express Canada,Fedex,,AM,BM,Aircraft
131.950000,0.00000,VXI69,Peel,ON,Toronto Pearson International Airport YYZ Airport Services,Central DeIcing Facility Back up,De-Icing B/U,,AM,BM,Aircraft
132.800000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,Arrivals 1,TCU Arr 1,,AM,BM,Aircraft
133.100000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Air Traffic Control,ATIS Secondary,ATIS 2nd,,AM,F,Aircraft
133.600000,0.00000,,Toronto,ON,Billy Bishop Toronto City Airport YTZ Air Traffic Control,ATIS,ATIS,,AM,F,Aircraft
134.175000,0.00000,XLJ738,Peel,ON,Toronto Pearson International Airport YYZ Toronto Centre  Terminal Control Unit,ILS Monitor ,TCU ILS,,AM,BM,Aircraft
136.575000,0.00000,,Peel,ON,Toronto Pearson International Airport YYZ Airlines,Airport Terminal Services,ATS,CSQ,AM,BM,Business
136.875000,0.00000,CIY816,Toronto,ON,Billy Bishop Toronto City Airport YTZ CYTZ,Porter Airlines,Porter,,AM,BM,Aircraft
136.975000,0.00000,CIE753,Peel,ON,Toronto Pearson International Airport YYZ ACARS,ARINC Toronto  VDL Mode 2,ARINC VDL -2,,AM,F,Data
140.100000,0.00000,VCT372,Halton,ON,Business Georgetown,First Student Canada,First Canada,CSQ,FM,BM,Transportation
140.280000,0.00000,VCX694,Halton,ON,Business Burlington,First Student Canada,First Canada,CSQ,FM,BM,Transportation
140.340000,0.00000,VCR587,York,ON,Business Markham,First Canada ULC,FirstCanada,255 DPL,FM,BM,Schools
140.910000,143.56500,CFV376,York,ON,Business King City,Sharp Bus Lines Ch 1,Sharp BL 1,203.5 PL,FM,RM,Transportation
141.030000,0.00000,VCX663,Peel,ON,Transportation Caledon East,First Student Canada,First Canada,CSQ,FM,BM,Transportation
141.150000,0.00000,CKO328,Halton,ON,Business Oakville,First Student Canada,First Canada,412 DPL,FM,BM,Transportation
141.150000,0.00000,CKO328,Peel,ON,Transportation Brampton,Stock Transportation,Stock Transp,412 DPL,FM,BM,Transportation
141.195000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
141.225000,0.00000,VCR585,Peel,ON,Transportation Mississauga,First Student Canada ,First Canada,CSQ,FM,BM,Transportation
141.300000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
141.360000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
141.390000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
141.405000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
141.420000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
141.435000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
141.450000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
141.495000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
141.540000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
141.630000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
141.675000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
141.705000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
141.720000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
141.735000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
141.930000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
142.050000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
142.110000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
142.140000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
142.185000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
142.215000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
142.245000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
142.290000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
142.320000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
142.335000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
142.350000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
142.365000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
142.380000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
142.425000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
142.455000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
142.590000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
142.605000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
142.635000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
142.650000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
142.665000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
142.680000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
142.755000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
142.785000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
142.800000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
142.830000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
142.860000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
142.890000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
142.905000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
142.920000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
142.980000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
142.995000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
143.055000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
143.070000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
143.085000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
143.100000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
143.145000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 037 Whitby 37WHIT, , ,Motorola, ,TRS
143.265000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 038 Pontypool 38PONT, , ,Motorola, ,TRS
143.280000,0.00000, ,Durham,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 026 Sunderland 26SUND, , ,Motorola, ,TRS
143.295000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
143.310000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
143.325000,0.00000, ,Halton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 005 Ballinafad 05BALL, , ,Motorola, ,TRS
143.340000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
143.355000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
143.370000,0.00000, ,York,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 039 King City 39KING, , ,Motorola, ,TRS
143.385000,0.00000, ,Hamilton,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 007 Charlton 07CHAR Hamilton, , ,Motorola, ,TRS
143.505000,0.00000, ,Peel,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 009 Britannia 09BRIT Mississauga, , ,Motorola, ,TRS
143.640000,0.00000, ,Toronto,ON,  Bell FleetNet  Ontario Provincial Government Zone 1,Site 040 Mowat 40MOWT Toronto, , ,Motorola, ,TRS
